Date and Time,Open,High,Low,Close,Volume
22/02/2021 04:25,134.23326951,134.24877168,134.23326951,134.23326951,19
22/02/2021 04:26,134.24877168,134.24877168,134.23326951,134.24877168,233
22/02/2021 04:27,134.23326951,134.23326951,134.21776735,134.23326951,3109
22/02/2021 04:28,134.23326951,134.24877168,134.23326951,134.23326951,466
22/02/2021 04:29,134.23326951,134.24877168,134.23326951,134.24877168,1220
22/02/2021 04:30,134.24877168,134.24877168,134.23326951,134.23326951,43
22/02/2021 04:31,134.23326951,134.24877168,134.23326951,134.24877168,50
22/02/2021 04:32,134.23326951,134.24877168,134.23326951,134.23326951,28
22/02/2021 04:33,134.23326951,134.23326951,134.21776735,134.21776735,4111
22/02/2021 04:34,134.21776735,134.23326951,134.20226518,134.21776735,1589
22/02/2021 04:35,134.21776735,134.21776735,134.21776735,134.21776735,612
22/02/2021 04:36,134.21776735,134.21776735,134.20226518,134.20226518,2017
22/02/2021 04:37,134.20226518,134.20226518,134.20226518,134.20226518,1315
22/02/2021 04:38,134.20226518,134.20226518,134.18676301,134.20226518,21
22/02/2021 04:39,134.20226518,134.20226518,134.18676301,134.20226518,180
22/02/2021 04:40,134.20226518,134.20226518,134.20226518,134.20226518,833
22/02/2021 04:41,134.20226518,134.21776735,134.18676301,134.21776735,513
22/02/2021 04:42,134.20226518,134.21776735,134.20226518,134.21776735,107
22/02/2021 04:43,134.20226518,134.21776735,134.20226518,134.21776735,61
22/02/2021 04:44,134.21776735,134.21776735,134.18676301,134.21776735,1858
22/02/2021 04:45,134.20226518,134.21776735,134.20226518,134.21776735,916
22/02/2021 04:46,134.20226518,134.21776735,134.20226518,134.21776735,66
22/02/2021 04:47,134.20226518,134.21776735,134.20226518,134.21776735,92
22/02/2021 04:48,134.21776735,134.21776735,134.18676301,134.18676301,1022
22/02/2021 04:49,134.20226518,134.20226518,134.18676301,134.20226518,139
22/02/2021 04:50,134.20226518,134.21776735,134.18676301,134.21776735,1227
22/02/2021 04:51,134.20226518,134.21776735,134.20226518,134.21776735,123
22/02/2021 04:52,134.20226518,134.21776735,134.20226518,134.20226518,527
22/02/2021 04:53,134.20226518,134.21776735,134.20226518,134.20226518,1014
22/02/2021 04:54,134.18676301,134.20226518,134.18676301,134.20226518,132
22/02/2021 04:55,134.18676301,134.21776735,134.18676301,134.21776735,931
22/02/2021 04:56,134.20226518,134.21776735,134.20226518,134.20226518,2309
22/02/2021 04:57,134.20226518,134.20226518,134.18676301,134.20226518,282
22/02/2021 04:58,134.18676301,134.18676301,134.17126084,134.18676301,1165
22/02/2021 04:59,134.18676301,134.18676301,134.17126084,134.18676301,1259
22/02/2021 05:00,134.18676301,134.18676301,134.17126084,134.18676301,166
22/02/2021 05:01,134.18676301,134.18676301,134.15575868,134.15575868,2964
22/02/2021 05:02,134.17126084,134.17126084,134.15575868,134.17126084,2862
22/02/2021 05:03,134.17126084,134.17126084,134.17126084,134.17126084,389
22/02/2021 05:04,134.17126084,134.17126084,134.15575868,134.15575868,172
22/02/2021 05:05,134.15575868,134.17126084,134.15575868,134.15575868,112
22/02/2021 05:06,134.15575868,134.17126084,134.15575868,134.15575868,96
22/02/2021 05:07,134.15575868,134.17126084,134.15575868,134.15575868,198
22/02/2021 05:08,134.17126084,134.17126084,134.15575868,134.17126084,257
22/02/2021 05:09,134.17126084,134.18676301,134.15575868,134.18676301,1663
22/02/2021 05:10,134.18676301,134.18676301,134.17126084,134.18676301,866
22/02/2021 05:11,134.17126084,134.18676301,134.15575868,134.17126084,1293
22/02/2021 05:12,134.17126084,134.17126084,134.15575868,134.17126084,1272
22/02/2021 05:13,134.17126084,134.18676301,134.17126084,134.17126084,140
22/02/2021 05:14,134.17126084,134.18676301,134.17126084,134.17126084,558
22/02/2021 05:15,134.17126084,134.18676301,134.17126084,134.18676301,17
22/02/2021 05:16,134.18676301,134.18676301,134.17126084,134.17126084,953
22/02/2021 05:17,134.15575868,134.18676301,134.15575868,134.18676301,540
22/02/2021 05:18,134.17126084,134.17126084,134.17126084,134.17126084,339
22/02/2021 05:19,134.15575868,134.17126084,134.15575868,134.17126084,31
22/02/2021 05:20,134.17126084,134.17126084,134.15575868,134.15575868,258
22/02/2021 05:21,134.15575868,134.17126084,134.15575868,134.17126084,985
22/02/2021 05:22,134.17126084,134.17126084,134.17126084,134.17126084,77
22/02/2021 05:23,134.17126084,134.17126084,134.15575868,134.17126084,7
22/02/2021 05:24,134.15575868,134.17126084,134.15575868,134.17126084,10
22/02/2021 05:25,134.17126084,134.18676301,134.15575868,134.18676301,1053
22/02/2021 05:26,134.18676301,134.18676301,134.18676301,134.18676301,245
22/02/2021 05:27,134.17126084,134.18676301,134.17126084,134.18676301,10
22/02/2021 05:28,134.17126084,134.18676301,134.17126084,134.18676301,18
22/02/2021 05:29,134.17126084,134.18676301,134.17126084,134.18676301,164
22/02/2021 05:30,134.18676301,134.18676301,134.17126084,134.17126084,2173
22/02/2021 05:31,134.18676301,134.18676301,134.18676301,134.18676301,118
22/02/2021 05:32,134.17126084,134.18676301,134.17126084,134.18676301,154
22/02/2021 05:33,134.18676301,134.18676301,134.17126084,134.18676301,19
22/02/2021 05:34,134.18676301,134.18676301,134.17126084,134.18676301,1109
22/02/2021 05:35,134.18676301,134.20226518,134.18676301,134.20226518,643
22/02/2021 05:36,134.20226518,134.21776735,134.20226518,134.21776735,1118
22/02/2021 05:37,134.21776735,134.23326951,134.20226518,134.21776735,1663
22/02/2021 05:38,134.21776735,134.21776735,134.21776735,134.21776735,1276
22/02/2021 05:39,134.21776735,134.21776735,134.20226518,134.21776735,1280
22/02/2021 05:40,134.21776735,134.21776735,134.20226518,134.21776735,3
22/02/2021 05:41,134.21776735,134.21776735,134.20226518,134.20226518,1103
22/02/2021 05:42,134.20226518,134.21776735,134.20226518,134.21776735,405
22/02/2021 05:43,134.20226518,134.21776735,134.20226518,134.20226518,1112
22/02/2021 05:44,134.20226518,134.20226518,134.20226518,134.20226518,3
22/02/2021 05:45,134.20226518,134.20226518,134.20226518,134.20226518,10
22/02/2021 05:46,134.20226518,134.20226518,134.17126084,134.17126084,1085
22/02/2021 05:47,134.17126084,134.18676301,134.17126084,134.17126084,306
22/02/2021 05:48,134.17126084,134.18676301,134.17126084,134.18676301,1496
22/02/2021 05:49,134.18676301,134.18676301,134.17126084,134.17126084,1842
22/02/2021 05:50,134.17126084,134.17126084,134.14025651,134.15575868,3887
22/02/2021 05:51,134.15575868,134.15575868,134.14025651,134.14025651,638
22/02/2021 05:52,134.14025651,134.15575868,134.14025651,134.15575868,737
22/02/2021 05:53,134.15575868,134.15575868,134.14025651,134.14025651,79
22/02/2021 05:54,134.14025651,134.15575868,134.12475434,134.12475434,1003
22/02/2021 05:55,134.14025651,134.14025651,134.12475434,134.12475434,157
22/02/2021 05:56,134.12475434,134.14025651,134.12475434,134.14025651,116
22/02/2021 05:57,134.12475434,134.14025651,134.12475434,134.14025651,261
22/02/2021 05:58,134.12475434,134.14025651,134.10925217,134.12475434,3528
22/02/2021 05:59,134.10925217,134.12475434,134.10925217,134.12475434,246
22/02/2021 06:00,134.10925217,134.12475434,134.10925217,134.10925217,118
22/02/2021 06:01,134.10925217,134.12475434,134.09375001,134.10925217,5119
22/02/2021 06:02,134.10925217,134.12475434,134.09375001,134.10925217,4999
22/02/2021 06:03,134.09375001,134.10925217,134.09375001,134.10925217,536
22/02/2021 06:04,134.10925217,134.10925217,134.07824784,134.07824784,4664
22/02/2021 06:05,134.07824784,134.10925217,134.07824784,134.10925217,3095
22/02/2021 06:06,134.12475434,134.12475434,134.10925217,134.12475434,1997
22/02/2021 06:07,134.14025651,134.14025651,134.12475434,134.12475434,19
22/02/2021 06:08,134.12475434,134.14025651,134.12475434,134.14025651,45
22/02/2021 06:09,134.14025651,134.14025651,134.12475434,134.12475434,146
22/02/2021 06:10,134.14025651,134.14025651,134.10925217,134.12475434,1543
22/02/2021 06:11,134.12475434,134.12475434,134.10925217,134.12475434,82
